t,S,I,R
1.7300000000000013,0.9879296777775957,0.011198263036597919,0.0008720591858076151
1.7400000000000013,0.9879170302754221,0.011205577554591924,0.0008773921699871508
1.7500000000000013,0.9879043746743479,0.011212896688128483,0.0008827286375248199
1.7600000000000013,0.987891710969476,0.01122022043990662,0.0008880685906185839
1.7700000000000014,0.9878790391559069,0.01122754881262665,0.0008934120314676898
1.7800000000000014,0.9878663592287384,0.011234881808990191,0.0008987589622726703
1.7900000000000014,0.9878536711830658,0.011242219431700153,0.0009041093852353447
1.8000000000000014,0.9878409750139817,0.011249561683460743,0.0009094633025588189
1.8100000000000014,0.9878282707165763,0.011256908566977466,0.0009148207164474871
1.8200000000000014,0.9878155582859371,0.011264260084957125,0.0009201816291070313
1.8300000000000014,0.987802837717149,0.011271616240107817,0.0009255460427444225
1.8400000000000014,0.9877901090052944,0.01127897703513894,0.0009309139595679214
1.8500000000000014,0.987777372145453,0.011286342472761187,0.0009362853817870788
1.8600000000000014,0.987764627132702,0.011293712555686553,0.0009416603116127359
1.8700000000000014,0.987751873962116,0.011301087286628327,0.0009470387512570259
1.8800000000000014,0.9877391126287668,0.011308466668301098,0.0009524207029333733
1.8900000000000015,0.987726343127724,0.011315850703420756,0.0009578061688564957
1.9000000000000015,0.9877135654540543,0.011323239394704488,0.0009631951512424037
1.9100000000000015,0.987700779602822,0.01133063274487078,0.0009685876523084019
1.9200000000000015,0.9876879855690887,0.011338030756639417,0.0009739836742730892
1.9300000000000015,0.9876751833479133,0.011345433432731485,0.0009793832193563596
1.9400000000000015,0.9876623729343523,0.011352840775869368,0.000984786289779403
1.9500000000000015,0.9876495543234597,0.011360252788776753,0.0009901928877647055
1.9600000000000015,0.9876367275102865,0.011367669474178626,0.00099560301553605
1.9700000000000015,0.9876238924898814,0.01137509083480127,0.001001016675318517
1.9800000000000015,0.9876110492572904,0.011382516873372278,0.0010064338693384855
1.9900000000000015,0.987598197807557,0.011389947592620533,0.0010118545998236328
2.0000000000000013,0.987585338135722,0.011397382995276227,0.001017278869002936
2.010000000000001,0.9875724702368237,0.01140482308407085,0.0010227066791066721
2.020000000000001,0.9875595941058977,0.011412267861737196,0.0010281380323664186
2.0300000000000007,0.9875467097379769,0.011419717331009356,0.0010335729310150547
2.0400000000000005,0.9875338171280917,0.01142717149462273,0.001039011377286761
2.0500000000000003,0.9875209162712701,0.011434630355314016,0.0010444533734170207
2.06,0.9875080071625374,0.011442093915821214,0.0010498989216426206
2.07,0.9874950897969159,0.01144956217888363,0.0010553480242016507
2.0799999999999996,0.9874821641694258,0.01145703514724187,0.0010608006833335056
2.0899999999999994,0.9874692302750845,0.011464512823637847,0.001066256901278885
2.099999999999999,0.9874562881089066,0.011471995210814772,0.0010717166802797942
2.109999999999999,0.9874433376659045,0.011479482311517164,0.0010771800225795444
2.1199999999999988,0.9874303789410876,0.011486974128490843,0.001082646930422754
2.1299999999999986,0.987417411929463,0.011494470664482937,0.0010881174060553488
2.1399999999999983,0.9874044366260348,0.011501971922241873,0.0010935914517245626
2.149999999999998,0.9873914530258049,0.011509477904517387,0.001099069069678938
2.159999999999998,0.9873784611237724,0.011516988614060518,0.001104550262168327
2.1699999999999977,0.9873654609149337,0.01152450405362361,0.0011100350314438912
2.1799999999999975,0.9873524523942828,0.011532024225960311,0.0011155233797581034
2.1899999999999973,0.9873394355568109,0.011539549133825577,0.001121015309364747
2.199999999999997,0.9873264103975067,0.011547078779975668,0.0011265108225189178
2.209999999999997,0.9873133769113561,0.01155461316716815,0.0011320099214770236
2.2199999999999966,0.9873003350933426,0.011562152298161892,0.0011375126084967853
2.2299999999999964,0.987287284938447,0.011569696175717075,0.0011430188858372377
2.239999999999996,0.9872742264416474,0.011577244802595183,0.00114852875575873
2.249999999999996,0.9872611595979194,0.011584798181559008,0.0011540422205229257
2.259999999999996,0.9872480844022359,0.011592356315372646,0.0011595592823928046
2.2699999999999956,0.9872350008495672,0.011599919206801503,0.0011650799436326623
2.2799999999999954,0.9872219089348809,0.01160748685861229,0.0011706042065081112
2.289999999999995,0.9872088086531422,0.01161505927357303,0.0011761320732860813
2.299999999999995,0.9871956999993134,0.011622636454453045,0.0011816635462348205
2.3099999999999947,0.9871825829683545,0.011630218404022974,0.0011871986276238955
2.3199999999999945,0.9871694575552225,0.01163780512505476,0.0011927373197241921
2.3299999999999943,0.9871563237548718,0.011645396620321652,0.0011982796248079161
2.339999999999994,0.9871431815622546,0.011652992892598212,0.001203825545148594
2.349999999999994,0.98713003097232,0.011660593944660307,0.001209375083021073
2.3599999999999937,0.9871168719800147,0.011668199779285116,0.0012149282407015226
2.3699999999999934,0.9871037045802828,0.011675810399251125,0.0012204850204674345
2.3799999999999932,0.9870905287680657,0.011683425807338131,0.0012260454245976232
2.389999999999993,0.987077344538302,0.011691046006327237,0.0012316094553722272
2.399999999999993,0.9870641518859279,0.011698670999000859,0.001237177115072709
2.4099999999999926,0.9870509508058769,0.011706300788142722,0.0012427484059818565
2.4199999999999924,0.9870377412930799,0.011713935376537862,0.0012483233303837824
2.429999999999992,0.9870245233424649,0.011721574766972621,0.001253901890563926
2.439999999999992,0.9870112969489577,0.011729218962234656,0.0012594840888090532
2.4499999999999917,0.9869980621074812,0.011736867965112934,0.0012650699274072575
2.4599999999999915,0.9869848188129557,0.01174452177839773,0.0012706594086479602
2.4699999999999913,0.9869715670602989,0.011752180404880635,0.0012762525348219114
2.479999999999991,0.9869583068444256,0.011759843847354547,0.0012818493082211904
